ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
9D25840100EB3DEC,classic_bike,25:15.2,38:07.2,Lincoln Ave & Sunnyside Ave,TA1307000156,Damen Ave & Foster Ave,KA1504000149,41.963004,-87.684781,41.97581098,-87.6795099,member
79CE85341A5DFA80,electric_bike,09:59.2,15:03.4,Franklin St & Lake St,TA1307000111,Dearborn St & Van Buren St,624,41.885837,-87.6355,41.876268,-87.629155,member
630223B69E717E0A,electric_bike,30:24.3,36:08.1,Morgan St & Lake St*,chargingstx4,Franklin St & Jackson Blvd,TA1305000025,41.88549171,-87.65228927,41.87770796,-87.63532114,member
74B768AEE097323A,classic_bike,08:21.5,18:45.3,Canal St & Harrison St,13326,Michigan Ave & Ida B Wells Dr,TA1305000010,41.874255,-87.639573,41.876203,-87.624464,member
E09F190E2C23F571,classic_bike,13:52.8,26:51.7,Clark St & Chicago Ave,13303,Dearborn St & Van Buren St,624,41.89675,-87.63089,41.876268,-87.629155,member
84CE731301AAB846,classic_bike,00:46.7,09:46.0,Wolcott (Ravenswood) Ave & Montrose Ave,TA1307000144,Leavitt St & Lawrence Ave,TA1309000015,41.961406,-87.676169,41.968885,-87.684001,member
5BCCEED8E4AE82C3,classic_bike,10:14.8,23:21.3,Wolcott (Ravenswood) Ave & Montrose Ave,TA1307000144,Broadway & Berwyn Ave,13109,41.961406,-87.676169,41.978361,-87.659789,member
B28001DBED8EBE53,classic_bike,18:34.8,24:15.3,Michigan Ave & 8th St,623,Millennium Park,13008,41.872773,-87.623981,41.8810317,-87.62408432,member
09F1B03C55669DE8,classic_bike,39:17.0,51:43.6,St. Louis Ave & Fullerton Ave,KA1504000090,Stave St & Armitage Ave,13266,41.9248156,-87.71449506,41.917741,-87.691392,member
D2A2934379C6D6AB,electric_bike,06:41.1,07:05.7,Sheffield Ave & Wellington Ave,TA1307000052,Sheffield Ave & Wellington Ave,TA1307000052,41.93625348,-87.6526621,41.93625348,-87.6526621,member
C39613331414595B,classic_bike,56:42.2,22:28.2,Clark St & Elm St,TA1307000039,Wabash Ave & 9th St,TA1309000010,41.902973,-87.63128,41.870769,-87.625734,member
9935283AA21B274D,electric_bike,40:29.7,46:36.6,Albany Ave & Bloomingdale Ave,15655,Milwaukee Ave & Wabansia Ave,13243,41.91402671,-87.70512646,41.912616,-87.681391,member
1958C9EDB234F80E,electric_bike,13:05.8,19:09.5,Franklin St & Monroe St,TA1309000007,Loomis St & Jackson Blvd,13206,41.880317,-87.635185,41.877945,-87.662007,member
